=== GENERIC MODEL-DIFF AUDIT — 17778 docs constructed against their real model ===

DROPPED PATH (stored but NOT in schema)                         DOCS  SAMPLE VALUE
specialization . collection.talent19.description                 303  "<p>Gain +1 to a single characteri
specialization . collection.talent19.activation                  303  "Passive"
specialization . collection.talent19.activationLabel             303  "SWFFG.TalentActivationsPassive"
specialization . collection.talent19.isForceTalent               303  false
specialization . collection.talent19.isRanked                    303  true
specialization . collection.talent19.size                        303  "single"
specialization . collection.talent19.canLinkTop                  303  true
specialization . collection.talent19.canLinkRight                303  false
specialization . collection.talent19.itemId                      303  "FQsxLlD95SATBaIs"
specialization . collection.talent19.pack                        303  "yehors-sw-ffg-shared-data.yn-tale
specialization . collection.talent19.cost                        303  25
specialization . collection.talent19.visible                     303  true
specialization . collection.talent19.canSplit                    303  false
specialization . collection.talent19.canCombine                  303  false
specialization . collection.talent19.islearned                   303  false
specialization . collection.talent19.links-top-1                 303  false
specialization . collection.talent19.links-right                 303  false
specialization . collection.talent2.<id>                         301  false
specialization . collection.talent11.<id>                        301  false
specialization . collection.talent14.<id>                        301  false
specialization . careerskills                                    300  {}
specialization . isReadOnly                                      300  true
specialization . collection.talent1.longDesc                     300  ""
specialization . collection.talent3.longDesc                     300  ""
specialization . collection.talent5.longDesc                     300  ""
specialization . collection.talent6.longDesc                     300  ""
specialization . collection.talent12.longDesc                    300  ""
specialization . collection.talent15.longDesc                    300  ""
specialization . collection.talent16.longDesc                    300  ""
specialization . collection.talent18.longDesc                    300  ""
specialization . collection.talent0.<id>                         299  false
specialization . collection.talent4.<id>                         299  false
specialization . collection.talent8.<id>                         299  false
specialization . collection.talent9.<id>                         299  false
specialization . collection.talent17.<id>                        299  false
specialization . collection.talent19.<id>                        299  false
specialization . collection.talent2.longDesc                     298  ""
specialization . collection.talent7.longDesc                     298  ""
specialization . collection.talent11.longDesc                    298  ""
specialization . collection.talent14.longDesc                    298  ""
specialization . collection.talent10.<id>                        297  false
specialization . collection.talent0.longDesc                     296  ""
specialization . collection.talent8.longDesc                     296  ""
specialization . collection.talent9.longDesc                     296  ""
specialization . collection.talent17.longDesc                    296  ""
specialization . collection.talent19.longDesc                    296  ""
specialization . collection.talent13.<id>                        295  false
specialization . collection.talent4.longDesc                     294  ""
specialization . collection.talent10.longDesc                    294  ""
specialization . collection.talent13.longDesc                    292  ""
specialization . collection.talent17.attributes                  268  {}
specialization . collection.talent16.attributes                  263  {}
specialization . collection.talent19.attributes                  257  {}
specialization . collection.talent15.attributes                  253  {}
specialization . collection.talent13.attributes                  243  {}
specialization . collection.talent18.attributes                  243  {}
specialization . collection.talent14.attributes                  237  {}
specialization . collection.talent10.attributes                  231  {}
specialization . collection.talent12.attributes                  226  {}
specialization . collection.talent11.attributes                  219  {}
specialization . collection.talent6.attributes                   218  {}
specialization . collection.talent8.attributes                   215  {}
specialization . collection.talent9.attributes                   214  {}
talent . renderedDesc                                            214  "<p>When staggered or disoriented,
shipattachment . type                                            210  "vehicle"
specialization . collection.talent7.attributes                   208  {}
specialization . collection.talent5.attributes                   207  {}
specialization . collection.talent4.attributes                   186  {}
gear . renderedDesc                                              185  {}
specialization . collection.talent3.attributes                   181  {}
specialization . collection.talent0.attributes.<id>.mod          166  "Wounds"
specialization . collection.talent0.attributes.<id>.modtype      166  "Stat"
specialization . collection.talent0.attributes.<id>.value        166  2
specialization . collection.talent1.attributes                   163  {}
specialization . collection.talent3.attributes.<id>.mod          161  "Strain"
specialization . collection.talent3.attributes.<id>.modtype      161  "Stat"
specialization . collection.talent3.attributes.<id>.value        161  1
specialization . collection.talent0.attributes                   150  {}
specialization . collection.talent2.attributes                   148  {}
specialization . collection.talent0.enrichedDescription          142  "Gain +2 wound threshold."
forcepower . collection.upgrade0.visible                         138  true
forcepower . collection.upgrade0.size                            138  "single"
forcepower . collection.upgrade0.canSplit                        138  false
forcepower . collection.upgrade0.canCombine                      138  true
forcepower . collection.upgrade0.canLinkTop                      138  true
forcepower . collection.upgrade0.canLinkRight                    138  true
forcepower . collection.upgrade1.visible                         138  true
forcepower . collection.upgrade1.size                            138  "single"
forcepower . collection.upgrade1.canCombine                      138  true
forcepower . collection.upgrade1.canLinkTop                      138  true
forcepower . collection.upgrade1.canLinkRight                    138  true
forcepower . collection.upgrade2.visible                         138  true
forcepower . collection.upgrade2.size                            138  "single"
forcepower . collection.upgrade2.canCombine                      138  true
forcepower . collection.upgrade2.canLinkTop                      138  true
forcepower . collection.upgrade2.canLinkRight                    138  true
forcepower . collection.upgrade3.visible                         138  true
forcepower . collection.upgrade3.size                            138  "single"
forcepower . collection.upgrade3.canCombine                      138  false
forcepower . collection.upgrade3.canLinkTop                      138  true
forcepower . collection.upgrade3.canLinkRight                    138  false
forcepower . collection.upgrade4.visible                         138  true
forcepower . collection.upgrade4.size                            138  "single"
forcepower . collection.upgrade4.canSplit                        138  false
forcepower . collection.upgrade4.canCombine                      138  true
forcepower . collection.upgrade4.canLinkTop                      138  true
forcepower . collection.upgrade4.canLinkRight                    138  true
forcepower . collection.upgrade5.visible                         138  true
forcepower . collection.upgrade5.size                            138  "single"
forcepower . collection.upgrade5.canCombine                      138  true
forcepower . collection.upgrade5.canLinkTop                      138  true
forcepower . collection.upgrade5.canLinkRight                    138  true
forcepower . collection.upgrade6.visible                         138  true
forcepower . collection.upgrade6.size                            138  "single"
forcepower . collection.upgrade6.canCombine                      138  true
forcepower . collection.upgrade6.canLinkTop                      138  true
forcepower . collection.upgrade6.canLinkRight                    138  true
forcepower . collection.upgrade7.visible                         138  true
forcepower . collection.upgrade7.size                            138  "single"
forcepower . collection.upgrade7.canCombine                      138  false
forcepower . collection.upgrade7.canLinkTop                      138  true
forcepower . collection.upgrade7.canLinkRight                    138  false
forcepower . collection.upgrade8.visible                         138  true
forcepower . collection.upgrade8.size                            138  "single"
forcepower . collection.upgrade8.canSplit                        138  false
forcepower . collection.upgrade8.canCombine                      138  true
forcepower . collection.upgrade8.canLinkTop                      138  true
forcepower . collection.upgrade8.canLinkRight                    138  true
forcepower . collection.upgrade9.visible                         138  true
forcepower . collection.upgrade9.size                            138  "single"
forcepower . collection.upgrade9.canCombine                      138  true
forcepower . collection.upgrade9.canLinkTop                      138  true
forcepower . collection.upgrade9.canLinkRight                    138  true
forcepower . collection.upgrade10.visible                        138  true
forcepower . collection.upgrade10.size                           138  "single"
forcepower . collection.upgrade10.canCombine                     138  true
forcepower . collection.upgrade10.canLinkTop                     138  true
forcepower . collection.upgrade10.canLinkRight                   138  true
forcepower . collection.upgrade11.visible                        138  true
forcepower . collection.upgrade11.size                           138  "single"
forcepower . collection.upgrade11.canCombine                     138  false
forcepower . collection.upgrade11.canLinkTop                     138  true
forcepower . collection.upgrade11.canLinkRight                   138  false
forcepower . collection.upgrade12.visible                        138  false
forcepower . collection.upgrade12.canCombine                     138  true
forcepower . collection.upgrade12.canLinkTop                     138  true
forcepower . collection.upgrade12.canLinkRight                   138  true
forcepower . collection.upgrade12.size                           138  ""
forcepower . collection.upgrade13.visible                        138  false
forcepower . collection.upgrade13.canCombine                     138  true
forcepower . collection.upgrade13.canLinkTop                     138  true
forcepower . collection.upgrade13.canLinkRight                   138  true
forcepower . collection.upgrade13.size                           138  ""
forcepower . collection.upgrade14.visible                        138  false
forcepower . collection.upgrade14.canCombine                     138  true
forcepower . collection.upgrade14.canLinkTop                     138  true
forcepower . collection.upgrade14.canLinkRight                   138  true
forcepower . collection.upgrade14.size                           138  ""
forcepower . collection.upgrade15.visible                        138  false
forcepower . collection.upgrade15.canCombine                     138  true
forcepower . collection.upgrade15.canLinkTop                     138  true
forcepower . collection.upgrade15.canLinkRight                   138  true
forcepower . collection.upgrade15.size                           138  ""
forcepower . collection.upgrade0.name                            136  "Range"
forcepower . collection.upgrade0.description                     136  "Please see page 292 of the Force 
forcepower . collection.upgrade0.cost                            136  "15"
forcepower . collection.upgrade0.links-top-1                     136  true
forcepower . collection.upgrade0.links-right                     136  true
forcepower . collection.upgrade0.islearned                       136  false
forcepower . collection.upgrade1.name                            136  "Magnitude"
forcepower . collection.upgrade1.description                     136  "Please see page 292 of the Force 
forcepower . collection.upgrade1.cost                            136  "5"
forcepower . collection.upgrade1.links-top-1                     136  true
forcepower . collection.upgrade1.links-right                     136  true
forcepower . collection.upgrade1.islearned                       136  false
forcepower . collection.upgrade2.name                            136  "Magnitude"
forcepower . collection.upgrade2.description                     136  "Please see page 292 of the Force 
forcepower . collection.upgrade2.cost                            136  "5"
forcepower . collection.upgrade2.attributes                      136  {}
forcepower . collection.upgrade2.links-top-1                     136  true
forcepower . collection.upgrade2.links-right                     136  true
forcepower . collection.upgrade2.islearned                       136  false
forcepower . collection.upgrade3.name                            136  "Control: Strain"
forcepower . collection.upgrade3.description                     136  "Please see page 292 of the Force 
forcepower . collection.upgrade3.cost                            136  "20"
forcepower . collection.upgrade3.attributes                      136  {}
forcepower . collection.upgrade3.links-top-1                     136  true
forcepower . collection.upgrade3.links-right                     136  true
